Commodity,Regulation,Geographical area ID,Measure type,AV,Specific 1,Ceiling,Minimum,Specific 2,Validity start date,Validity end date,Exclusions,Category
7225502000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,AE",2
7225508000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,AE",2
7226200000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,AE",2
7226920000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,AE",2
7210200000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE",4a
7210300000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE",4a
7210410000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE",4a
7210490000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE",4a
7210610000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE",4a
7210690000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE",4a
7210908000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE",4a
7212200000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE",4a
7212300000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE",4a
7212502000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE",4a
7212503000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE",4a
7212504000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE",4a
7212506100,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE",4a
7212506900,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE",4a
7212509000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE",4a
7225910000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE",4a
7225920000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE",4a
7225990000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE",4a
7226991000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE",4a
7226993000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE",4a
7226997000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,AE",4a
7210708000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,TR,UA,AE",5
7212408000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,TR,UA,AE",5
7209189900,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,TR,UA,AE,VN",6
7210110000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,TR,UA,AE,VN",6
7210122000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,TR,UA,AE,VN",6
7210128000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,TR,UA,AE,VN",6
7210500000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,TR,UA,AE,VN",6
7210701000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,TR,UA,AE,VN",6
7210904000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,TR,UA,AE,VN",6
7212101000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,TR,UA,AE,VN",6
7212109000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,TR,UA,AE,VN",6
7212402000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,TR,UA,AE,VN",6
7208512000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,TR,AE,VN",7
7208519100,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,TR,AE,VN",7
7208519800,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,TR,AE,VN",7
7208529100,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,TR,AE,VN",7
7208902000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,TR,AE,VN",7
7208908000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,TR,AE,VN",7
7210903000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,TR,AE,VN",7
7225401200,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,TR,AE,VN",7
7225404000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,TR,AE,VN",7
7225406000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,TR,AE,VN",7
7214300000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7214911000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7214919000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7214993100,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7214993900,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7214995000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7214997100,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7214997900,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7214999500,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7215900000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7216100000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7216210000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7216220000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7216401000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7216409000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7216501000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7216509100,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7216509900,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7216990000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7228102000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7228201000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7228209100,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7228302000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7228304100,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7228304900,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7228306100,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7228306900,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7228307000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7228308900,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7228602000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7228608000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7228701000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7228709000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7228800000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",12
7214200000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,AE,VN",13
7214991000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,AE,VN",13
7222111100,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",14
7222111900,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",14
7222118100,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",14
7222118900,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",14
7222191000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",14
7222199000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",14
7222201100,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",14
7222201900,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",14
7222202100,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",14
7222202900,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",14
7222203100,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",14
7222203900,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",14
7222208100,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",14
7222208900,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",14
7222305100,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",14
7222309100,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",14
7222309700,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",14
7222401000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",14
7222405000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",14
7222409000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",14
7221001000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,TR,UA,AE,VN",15
7221009000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,TR,UA,AE,VN",15
7213100000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,AE,VN",16
7213200000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,AE,VN",16
7213911000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,AE,VN",16
7213912000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,AE,VN",16
7213914100,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,AE,VN",16
7213914900,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,AE,VN",16
7213917000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,AE,VN",16
7213919000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,AE,VN",16
7213991000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,AE,VN",16
7213999000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,AE,VN",16
7227100000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,AE,VN",16
7227200000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,AE,VN",16
7227901000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,AE,VN",16
7227905000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,AE,VN",16
7227909500,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,AE,VN",16
7216311000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,VN",17
7216319000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,VN",17
7216321100,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,VN",17
7216321900,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,VN",17
7216329100,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,VN",17
7216329900,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,VN",17
7216331000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,VN",17
7216339000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,VN",17
7302102200,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,TR,UA,AE,VN",19
7302102800,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,TR,UA,AE,VN",19
7302104000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,TR,UA,AE,VN",19
7302105000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,TR,UA,AE,VN",19
7302400000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,TR,UA,AE,VN",19
7306304100,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,VN",20
7306304900,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,VN",20
7306307200,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,VN",20
7306307700,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,UA,VN",20
7306611000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,AE,VN",21
7306619200,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,AE,VN",21
7306619900,N1990030,5050,696,25,,,,,2019-11-01,,"CN,IN,TH,UA,AE,VN",21
7305110000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",25
7305120000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",25
7305190000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",25
7305200000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",25
7305310000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",25
7305390000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",25
7305900000,N1990030,5050,696,25,,,,,2019-11-01,,"CN,TH,TR,UA,AE,VN",25
7306111000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,VN",26
7306119000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,VN",26
7306191000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,VN",26
7306199000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,VN",26
7306210000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,VN",26
7306290000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,VN",26
7306301100,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,VN",26
7306301900,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,VN",26
7306308000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,VN",26
7306402000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,VN",26
7306408000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,VN",26
7306502000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,VN",26
7306508000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,VN",26
7306691000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,VN",26
7306699000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,VN",26
7306900000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,VN",26
7215100000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",27
7215501100,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",27
7215501900,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",27
7215508000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",27
7228109000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",27
7228209900,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",27
7228502000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",27
7228504000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",27
7228506100,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",27
7228506900,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",27
7228508000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,TH,UA,AE,VN",27
7217101000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,UA,AE,VN",28
7217103100,N1990030,5050,696,25,,,,,2019-11-01,,"IN,UA,AE,VN",28
7217103900,N1990030,5050,696,25,,,,,2019-11-01,,"IN,UA,AE,VN",28
7217105000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,UA,AE,VN",28
7217109000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,UA,AE,VN",28
7217201000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,UA,AE,VN",28
7217203000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,UA,AE,VN",28
7217205000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,UA,AE,VN",28
7217209000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,UA,AE,VN",28
7217304100,N1990030,5050,696,25,,,,,2019-11-01,,"IN,UA,AE,VN",28
7217304900,N1990030,5050,696,25,,,,,2019-11-01,,"IN,UA,AE,VN",28
7217305000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,UA,AE,VN",28
7217309000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,UA,AE,VN",28
7217902000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,UA,AE,VN",28
7217905000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,UA,AE,VN",28
7217909000,N1990030,5050,696,25,,,,,2019-11-01,,"IN,UA,AE,VN",28
