HS8 (numeric),Description,General framework , General framework Country exclusions,Enhanced framework ,Least developed countries framework ,Transitional Protection Scheme ,,,,,,,,
2032955,FROZEN BONELESS MEAT OF DOMESTIC SWINE (EXCL. BELLIES AND CUTS THEREOF),,,,0%,0%,,,,,,,,
2032959,FROZEN MEAT OF DOMESTIC SWINE WITH BONE IN (EXCL. CARCASES AND HALF-CARCASES HAMS SHOULDERS AND CUTS THEREOF AND FORE-ENDS LOINS BELLIES AND CUTS THEREOF),,,,0%,0%,,,,,,,,
2032990,FROZEN MEAT OF NON-DOMESTIC SWINE (EXCL. CARCASES AND HALF-CARCASES AND HAMS SHOULDERS AND CUTS THEREOF WITH BONE IN),,,,0%,0%,,,,,,,,
2041000,FRESH OR CHILLED LAMB CARCASES AND HALF-CARCASES,,,,0%,0%,,,,,,,,
2042100,FRESH OR CHILLED SHEEP CARCASES AND HALF-CARCASES (EXCL. LAMBS),,,,0%,0%,,,,,,,,
2042210,FRESH OR CHILLED SHEEP SHORT FOREQUARTERS,,,,0%,0%,,,,,,,,
2042230,FRESH OR CHILLED SHEEP CHINES AND/OR BEST ENDS,,,,0%,0%,,,,,,,,
2042250,FRESH OR CHILLED SHEEP LEGS,,,,0%,0%,,,,,,,,
2042290,FRESH OR CHILLED BONELESS CUTS OF SHEEP WITH BONE IN (EXCL. CARCASES AND HALF-CARCASES SHORT FOREQUARTERS CHINES AND/OR BEST ENDS AND LEGS),,,,0%,0%,,,,,,,,
2042300,FRESH OR CHILLED BONELESS CUTS OF SHEEP,,,,0%,0%,,,,,,,,
2043000,FROZEN LAMB CARCASES AND HALF-CARCASES,,,,0%,0%,,,,,,,,
2044100,FROZEN SHEEP CARCASES AND HALF-CARCASES (EXCL. LAMBS),,,,0%,0%,,,,,,,,
2044210,FROZEN SHEEP SHORT FOREQUARTERS,,,,0%,0%,,,,,,,,
2044230,FROZEN SHEEP CHINES AND/OR BEST ENDS,,,,0%,0%,,,,,,,,
2044250,FROZEN SHEEP LEGS,,,,0%,0%,,,,,,,,
2044290,FROZEN CUTS OF SHEEP WITH BONE IN (EXCL. CARCASES AND HALF-CARCASES SHORT FOREQUARTERS CHINES AND/OR BEST ENDS AND LEGS),,,,0%,0%,,,,,,,,
2044310,FROZEN MEAT OF LAMBS BONELESS FROZEN,,,,0%,0%,,,,,,,,
2044390,FROZEN MEAT OF SHEEP BONELESS (EXCL. LAMB),,,,0%,0%,,,,,,,,
2045011,FRESH OR CHILLED GOAT CARCASES AND HALF-CARCASES,,,,0%,0%,,,,,,,,
2045013,FRESH OR CHILLED GOAT SHORT FOREQUARTERS,,,,0%,0%,,,,,,,,
2045015,FRESH OR CHILLED GOAT CHINES AND/OR BEST ENDS,,,,0%,0%,,,,,,,,
2045019,FRESH OR CHILLED LEGS OF GOAT,,,,0%,0%,,,,,,,,
2045031,FRESH OR CHILLED CUTS OF GOAT WITH BONE IN (EXCL. CARCASES AND HALF-CARCASES SHORT FOREQUARTERS CHINES AND/OR BEST ENDS AND LEGS),,,,0%,0%,,,,,,,,
2045039,FRESH OR CHILLED BONELESS CUTS OF GOAT,,,,0%,0%,,,,,,,,
2045051,FROZEN GOAT CARCASES AND HALF-CARCASES,,,,0%,0%,,,,,,,,
2045053,FROZEN GOAT SHORT FOREQUARTERS,,,,0%,0%,,,,,,,,
2045055,FROZEN GOAT CHINES AND/OR BEST ENDS,,,,0%,0%,,,,,,,,
2045059,FROZEN GOAT LEGS,,,,0%,0%,,,,,,,,
2045071,FROZEN CUTS OF GOAT WITH BONE IN (EXCL. CARCASES AND HALF-CARCASES SHORT FOREQUARTERS CHINES AND/OR BEST ENDS AND LEGS),,,,0%,0%,,,,,,,,
2045079,FROZEN BONELESS CUTS OF GOAT,,,,0%,0%,,,,,,,,
2050020,FRESH OR CHILLED MEAT OF HORSES ASSES MULES OR HINNIES,0.0%,Indonesia,0.0%,0%,0%,,,,,,,,
2050080,FROZEN MEAT OF HORSES ASSES MULES OR HINNIES,0.0%,Indonesia,0.0%,0%,0%,,,,,,,,
2061010,FRESH OR CHILLED EDIBLE BOVINE OFFAL FOR MANUFACTURE OF PHARMACEUTICAL PRODUCTS,,,,0%,0%,,,,,,,,
2061095,FRESH OR CHILLED EDIBLE BOVINE THICK AND THIN SKIRT (EXCL. FOR MANUFACTURE OF PHARMACEUTICAL PRODUCTS),,,,0%,0%,,,,,,,,
2061098,FRESH OR CHILLED EDIBLE BOVINE OFFAL (EXCL. FOR MANUFACTURE OF PHARMACEUTICAL PRODUCTS THICK AND THIN SKIRT),,,,0%,0%,,,,,,,,
2062100,FROZEN EDIBLE BOVINE TONGUES,,,,0%,0%,,,,,,,,
2062200,FROZEN EDIBLE BOVINE LIVERS,,,,0%,0%,,,,,,,,
2062910,FROZEN EDIBLE BOVINE OFFAL FOR MANUFACTURE OF PHARMACEUTICAL PRODUCTS (EXCL. TONGUES AND LIVERS),,,,0%,0%,,,,,,,,
2062991,FROZEN EDIBLE BOVINE THICK AND THIN SKIRT (EXCL. FOR MANUFACTURE OF PHARMACEUTICAL PRODUCTS),,,,0%,0%,,,,,,,,
2062999,FROZEN EDIBLE BOVINE OFFAL (EXCL. FOR MANUFACTURE OF PHARMACEUTICAL PRODUCTS TONGUES LIVERS AND THICK AND THIN SKIRT),,,,0%,0%,,,,,,,,
2063000,FRESH OR CHILLED EDIBLE OFFAL OF SWINE,,,,0%,0%,,,,,,,,
2064100,FROZEN EDIBLE LIVERS OF SWINE,,,,0%,0%,,,,,,,,
2064900,EDIBLE OFFAL OF SWINE FROZEN (EXCL. LIVERS),,,,0%,0%,,,,,,,,
2068010,FRESH OR CHILLED EDIBLE OFFAL OF SHEEP GOATS HORSES ASSES MULES AND HINNIES FOR MANUFACTURE OF PHARMACEUTICAL PRODUCTS,,,,0%,0%,,,,,,,,
2068091,FRESH OR CHILLED EDIBLE OFFAL OF HORSES ASSES MULES AND HINNIES (EXCL. FOR MANUFACTURE OF PHARMACEUTICAL PRODUCTS),0.0%,Indonesia,0.0%,0%,0%,,,,,,,,
2068099,FRESH OR CHILLED EDIBLE OFFAL OF SHEEP AND GOATS (EXCL. FOR MANUFACTURE OF PHARMACEUTICAL PRODUCTS),,,,0%,0%,,,,,,,,
2069010,FROZEN EDIBLE OFFAL OF SHEEP GOATS HORSES MULES AND HINNIES FOR MANUFACTURE OF PHARMACEUTICAL PRODUCTS,,,,0%,0%,,,,,,,,
2069091,FROZEN EDIBLE OFFAL OF HORSES ASSES MULES AND HINNIES (EXCL. FOR MANUFACTURE OF PHARMACEUTICAL PRODUCTS),0.0%,Indonesia,0.0%,0%,0%,,,,,,,,
2069099,FROZEN EDIBLE OFFAL OF SHEEP AND GOATS (EXCL. FOR MANUFACTURE OF PHARMACEUTICAL PRODUCTS),,,,0%,0%,,,,,,,,
2071110,"FRESH OR CHILLED PLUCKED AND GUTTED FOWLS OF SPECIES GALLUS DOMESTICUS WITH HEADS AND FEET KNOWN AS ""83% CHICKENS""",,,,0%,0%,,,,,,,,
2071130,"FRESH OR CHILLED PLUCKED AND DRAWN FOWLS OF SPECIES GALLUS DOMESTICUS WITHOUT HEADS AND FEET BUT WITH NECKS HEARTS LIVERS AND GIZZARDS KNOWN AS ""70% CHICKENS""",,,,0%,0%,,,,,,,,
2071190,"FRESH OR CHILLED PLUCKED AND DRAWN FOWLS OF SPECIES GALLUS DOMESTICUS WITHOUT HEADS FEET NECKS HEARTS LIVERS AND GIZZARDS KNOWN AS ""65% CHICKENS"" AND OTHER FORMS OF FRESH OR CHILLED FOWL NOT CUT IN PIECES (EXCL. ""83% AND 70% CHICKENS"")",,,,0%,0%,,,,,,,,
2071210,"FROZEN FOWLS OF SPECIES GALLUS DOMESTICUS PLUCKED AND DRAWN WITHOUT HEADS AND FEET BUT WITH NECKS HEARTS LIVERS AND GIZZARDS KNOWN AS ""70% CHICKENS""",,,,0%,0%,,,,,,,,
2071290,"FROZEN FOWLS OF SPECIES GALLUS DOMESTICUS PLUCKED AND DRAWN WITHOUT HEADS FEET NECKS HEARTS LIVERS AND GIZZARDS KNOWN AS ""65% CHICKENS"" AND OTHER FORMS OF FOWL NOT CUT IN PIECES (EXCL. ""70% CHICKENS"")",,,,0%,0%,,,,,,,,
2071310,FRESH OR CHILLED BONELESS CUTS OF FOWLS OF THE SPECIES GALLUS DOMESTICUS,,,,0%,0%,,,,,,,,
2071320,FRESH OR CHILLED HALVES OR QUARTERS OF FOWLS OF THE SPECIES GALLUS DOMESTICUS,,,,0%,0%,,,,,,,,
2071330,FRESH OR CHILLED WHOLE WINGS WITH OR WITHOUT TIPS OF FOWLS OF THE SPECIES GALLUS DOMESTICUS,,,,0%,0%,,,,,,,,
2071340,FRESH OR CHILLED BACKS NECKS BACKS WITH NECKS ATTACHED RUMPS AND WING-TIPS OF FOWLS OF THE SPECIES GALLUS DOMESTICUS,,,,0%,0%,,,,,,,,
2071350,FRESH OR CHILLED BREASTS AND CUTS THEREOF OF FOWLS OF THE SPECIES GALLUS DOMESTICUS WITH BONE IN,,,,0%,0%,,,,,,,,
2071360,FRESH OR CHILLED LEGS AND CUTS THEREOF OF FOWLS OF THE SPECIES GALLUS DOMESTICUS WITH BONE IN,,,,0%,0%,,,,,,,,
2071370,FRESH OR CHILLED CUTS OF FOWLS OF THE SPECIES GALLUS DOMESTICUS WITH BONE IN (EXCL. HALVES AND QUARTERS WHOLE WINGS WITH OR WITHOUT TIPS BACKS NECKS BACKS WITH NECKS ATTACHED RUMPS AND WING-TIPS BREASTS LEGS AND PARTS THEREOF),,,,0%,0%,,,,,,,,
2071391,FRESH OR CHILLED EDIBLE LIVERS OF FOWLS OF THE SPECIES GALLUS DOMESTICUS,,,,0%,0%,,,,,,,,
2071399,FRESH OR CHILLED EDIBLE OFFAL OF FOWLS OF THE SPECIES GALLUS DOMESTICUS (EXCL. LIVERS),,,,0%,0%,,,,,,,,
2071410,FROZEN BONELESS CUTS OF FOWLS OF THE SPECIES GALLUS DOMESTICUS,,,,0%,0%,,,,,,,,
2071420,FROZEN HALVES OR QUARTERS OF FOWLS OF THE SPECIES GALLUS DOMESTICUS,,,,0%,0%,,,,,,,,
2071430,FROZEN WHOLE WINGS WITH OR WITHOUT TIPS OF FOWLS OF THE SPECIES GALLUS DOMESTICUS,,,,0%,0%,,,,,,,,
2071440,FROZEN BACKS NECKS BACKS WITH NECKS ATTACHED RUMPS AND WING-TIPS OF FOWLS OF THE SPECIES GALLUS DOMESTICUS,,,,0%,0%,,,,,,,,
2071450,FROZEN BREASTS AND CUTS THEREOF OF FOWLS OF THE SPECIES GALLUS DOMESTICUS WITH BONE IN,,,,0%,0%,,,,,,,,
2071460,FROZEN LEGS AND CUTS THEREOF OF FOWLS OF THE SPECIES GALLUS DOMESTICUS WITH BONE IN,,,,0%,0%,,,,,,,,
2071470,FROZEN CUTS OF FOWLS OF THE SPECIES GALLUS DOMESTICUS WITH BONE IN (EXCL. HALVES OR QUARTERS WHOLE WINGS WITH OR WITHOUT TIPS BACKS NECKS BACKS WITH NECKS ATTACHED RUMPS AND WING-TIPS BREASTS LEGS AND CUTS THEREOF),,,,0%,0%,,,,,,,,
2071491,FROZEN EDIBLE LIVERS OF FOWLS OF THE SPECIES GALLUS DOMESTICUS,0.0%,Indonesia,0.0%,0%,0%,,,,,,,,
2071499,FROZEN EDIBLE OFFAL OF FOWLS OF THE SPECIES GALLUS DOMESTICUS (EXCL. LIVERS),,,,0%,0%,,,,,,,,
2072410,"FRESH OR CHILLED PLUCKED AND DRAWN TURKEYS OF THE SPECIES DOMESTICUS WITHOUT HEADS AND FEET BUT WITH NECKS HEARTS LIVERS AND GIZZARDS KNOWN AS ""80% TURKEYS""",,,,0%,0%,,,,,,,,
2072490,"FRESH OR CHILLED PLUCKED AND DRAWN TURKEYS OF THE SPECIES DOMESTICUS WITHOUT HEADS FEET NECKS HEARTS LIVERS AND GIZZARDS KNOWN AS ""73% TURKEYS"" AND OTHER FORMS OF FRESH OR CHILLED TURKEYS NOT CUT IN PIECES (EXCL. ""80% TURKEYS"")",,,,0%,0%,,,,,,,,
2072510,"FROZEN TURKEYS OF THE SPECIES DOMESTICUS PLUCKED AND DRAWN WITHOUT HEADS AND FEET BUT WITH NECKS HEARTS LIVERS AND GIZZARDS KNOWN AS ""80% TURKEYS""",,,,0%,0%,,,,,,,,
2072590,"FROZEN TURKEYS OF THE SPECIES DOMESTICUS PLUCKED AND DRAWN WITHOUT HEADS FEET NECKS HEARTS LIVERS AND GIZZARDS KNOWN AS ""73% TURKEYS"" AND OTHER FORMS OF TURKEYS NOT CUT IN PIECES (EXCL. ""80% TURKEYS"")",,,,0%,0%,,,,,,,,
2072610,FRESH OR CHILLED BONELESS CUTS OF TURKEYS OF THE SPECIES DOMESTICUS,,,,0%,0%,,,,,,,,
2072620,FRESH OR CHILLED HALVES OR QUARTERS OF TURKEYS OF THE SPECIES DOMESTICUS,,,,0%,0%,,,,,,,,
2072630,FRESH OR CHILLED WHOLE WINGS WITH OR WITHOUT TIPS OF TURKEYS OF THE SPECIES DOMESTICUS,,,,0%,0%,,,,,,,,
2072640,FRESH OR CHILLED BACKS NECKS BACKS WITH NECKS ATTACHED RUMPS AND WING-TIPS OF TURKEYS OF THE SPECIES DOMESTICUS,,,,0%,0%,,,,,,,,
2072650,FRESH OR CHILLED BREASTS AND CUTS THEREOF OF TURKEYS OF THE SPECIES DOMESTICUS WITH BONE IN,,,,0%,0%,,,,,,,,
2072660,FRESH OR CHILLED DRUMSTICKS AND CUTS THEREOF OF TURKEYS OF THE SPECIES DOMESTICUS WITH BONE IN,,,,0%,0%,,,,,,,,
2072670,FRESH OR CHILLED LEGS AND CUTS THEREOF OF TURKEYS OF THE SPECIES DOMESTICUS WITH BONE IN (EXCL. DRUMSTICKS),,,,0%,0%,,,,,,,,
